106, 5 1200 1800 300 4999 5000
90, 3 30 1000 80
200, 3 20 10 40 90
50, 2 41 31
60, 3 88 75 26
65, 1 51
190, 3 302222 10200 810
200, 4 230 120 140 90112
510, 2 4223231 34434341
610, 3 83348 74555 25546
625, 1 5451
1106, 5 124300 180430 34400 494599 504343400
930, 8 34330 100440 84440 333 3334 455445 45454 433422 
2300, 3 230 130 340 903
540, 4 451 351
650, 5 788 775 27776
63345, 10 51 2 3 4 5 6 7 8 9 23
4190, 3 3225522 1055520 81544501
23300, 4 2455430 145545420 15545440 9014444412
5458910, 2 42232310 344343410
612220, 3 843433348 74543455 25443546
1111625, 1 3435451
10, 2 34 56 
20, 3 65 6776 323232
30, 4 333333333333333333 344444444444444444444444 23333333333333333, 233333333331
40, 5 234353 4564 24535 23352352 45353453
